Sentiment	Text	Entity	Performance	Usability	Security	Others
o	"Hey, sorry that it's been a while since my last reply, I gave up working on this project until I saw that someone has answered my old thread. I think, I understood the most of how to get started with this project, but now I'm stuck at the ,""apiStorage"",-point. In the readme.md of ex3ndr's-gitHub-page it says, the ""Telegram-Api""-Object requires an ""ApiStorage""-object, created by ,""new MyApiStorage"",. But ,I can't find that ""MyApiStorage""-class,, so what should I put there?"	MyApiStorage	0	0	0	1
o	"its giving me the following error """"java.net.ConnectException: Connection timed out: connect"""""",""Have you tried running this code? The finally does not work because 'transport' should be 'Transport', and also because you cannot make a static reference to close()."	java.net.ConnectException	0	0	0	1
o	HttpClient has to deal with several dozen customization parameters and context specific strategies and objects.	HttpClient	0	1	0	0
p	I wouldn't have an issue bundling the info and using larger intervals.  I will look into using SAX.,Interesting.  I will have to try that out.	SAX	0	1	0	0
o	"It renders UI using Java2D, thus minimizing the impact of (IMO, bloated) legacies of Swing and AWT."""	Swing	0	1	0	0
o	"To IDK, keys => ,keySet(),, values => ,values(),, both => ,entrySet(),; doesn't affect the ,forEach,. But as I said, it's a style thing闁炽儲鏀眜st wanted to mention it."",""100% agree with you. What I thought was, since question is already answered, my answer w"	entrySet()	0	0	0	1
o	"Actually, it can turn into an outright leak if you create Thread objects and never call start() - the stack memory is then never reclaimed, IIRC."",Interesting. Didn't know that."	start()	0	1	0	1
o	"JNA comes with a StdCallFunctionMapper that handles the __stdcall name mangling for you.  You should also ensure your library implements StdCallLibrary, which indicates to JNA to use the stdcall convention for that library."",""Finally found the solution, check out my answer. Thank you very much for your help."	StdCallFunctionMapper	0	0	0	1
p	Note that SwingX is components (AFAIU) that are extensions or compositions of existing Swing components.	Swing	0	1	0	0
o	"To IDK, keys => ,keySet(),, values => ,values(),, both => ,entrySet(),; doesn't affect the ,forEach,. But as I said, it's a style thing闁炽儲鏀眜st wanted to mention it."",""100% agree with you. What I thought was, since question is already answered, my answer w"	values()	0	0	0	1
p	"""Strange as this sounds, but there is a great deal of similarity between AppEngine Datastore and the Lotus Domino: you may need to write an abstraction layer to handle the two APIs, but the capabilities are quite similar."""	AppEngine	0	1	0	0
o	To RobertHarvey: To clarify, why do you say ,totalMemory, is not going to work for To MattB? Looking at this question as it is currently phrased, To MattB wants to measure the memory use of his Java program running on a single JVM instance. For this scenario, ,	freeMemory	0	1	0	0
p	There is also a newer algorithm by the same guy called URL_http://en.wikipedia.org/wiki/Twofish [Twofish] .	Twofish	0	0	0	1
p	They're defined in org.xml.sax.ContentHandler and there's an empty helper class DefaultHandler.	org.xml.sax	0	0	0	1
o	"Its mentioned on the ,icon, field of the Notification class. And on this page: ,developer.android.com/guide/topics/ui/notifiers/闁?, but I agrees it's poorly documented for the builders."",""Neither ,setSmallIcon, nor ,setLargeIcon, are showing in my app when I use RemoteView."	setSmallIcon	0	0	0	1
o	Instead of calling this a ,Composition,, I would say it would be more appropriate to call it an ,Aggregation, because ,Set, class ,CAN EXIST, without its wrapper class i.e ,NoNullSet	AbstractSet	0	0	0	1
o	"If the ,studentList, is supposed to be immutable: you would be better off checking the ,count, returned by ,getStudentCount(), and then using ,Collections.emptyList(), if it was 0.  This allows for a potential optimization (i.e. having a cached empty list that is returned each time).  If the ,count, was not 0, you should still wrap the returned list in a ,Collections.unmodifiableList(studentList), wrapper to ensure it's not accidentally modified."",""Agreed. You will have to set a limit for which errors you consider likely to happen during normal use, and model these as non-exceptions. Coding errors (breach of contract) or things which you don't see happening during normal use (like out of memory, null pointer dereferencing), you should use exceptions for."	Collections.unmodifiableList(studentList)	0	0	0	1
o	You read the document with a class that implements a interface to javax.xml.bind.Unmarshaller (you get a class for this from JAXBContext.newInstance).	javax.xml.bind.Unmarshaller	0	1	0	0
o	And there had to be a specific exception for System.in/out/err for the new Java Memory Model.,although you can't use setLength() on an array.	setLength()	0	1	0	0
o	"If you always want it in JSON you could look at using ,MongoDB"",""I guess you should try using ,commons.apache.org/proper/commons-dbutils/changes-report.html,  and implement own handler something like  public class JsonResultSetHandler implements ResultSetHandler<CharSequence> { 	 	private RowProcessor<CharSequence> convert = null; 	 	public JsonResultSetHandler(){ 		this(JsonRowProcessor.ROW_PROCESSOR); 	} 	 	public JsonResultSetHandler(RowProcessor<CharSequence> convert){"	JsonResultSetHandler	0	1	0	0
o	"""When the poller first notices it, it throws and immediately catches the TurnOnDebuggerException."""	TurnOnDebuggerException	0	0	0	1
o	If you need multi-threading or more control it is still possible to manipulate use the _Client_ connector class or the _Request_ objects directly.	_Client_	1	0	0	0
o	"""I need the advice from someone who knows very well java and the memory issues.I have a large file (something like 1.5GB) and I need to cut this file in many(100 small files for example) smaller files.I Know generally how to do it (using a BufferedReader), but I would like to know if you have any advice regarding the memory, or tips how to do it faster.My file containt text, it is not binary and I have about 20 character per line."""	BufferedReader	0	0	0	1
n	Swing components are platform-independent.	Swing	0	0	0	1
n	Chained expressions like that are a pain to debug for NullPointerExceptions (and most other problems that can occur) so I would advise you to try and avoid it.	NullPointerExceptions	0	0	0	1
o	"""I learned this trick from URL_http://weblogs.java.net/blog/pat/archive/2004/10/stupid_scanner_1.html [""""Stupid-Scanner-tricks""""] article."""	Stupid-Scanner-tricks	0	0	0	1
n	This one fails for empty files with a java.util.NoSuchElementException.	java.util.NoSuchElementException	0	0	0	1
o	"Hi! thanks for you reply, I tried with this code, import javax.net.ssl.TrustManager and javax.net.ssl.X509TrustManager, and I call this method before my code, but the exception still saying the same."",""Please don't use this code ,at all., There's no point in deploying an insecure solution even just to test it. You're running the risk of it 'leaking' into production, which would be a ,major, security breach. Also the code ignores exceptions and violates the contract of ,TrustManager., Avoid."	javax.net.ssl.X509TrustManager	0	0	0	1
o	It's in the class org.apache.commons.io.FileUtils.	org.apache.commons.io.FileUtils	0	0	0	1
o	i vote for CustomerSearch idea that is the most extensible one.,this is API! if i add a new field to Customer.java like whatevernew field i will need to change the signature of this method !! and this is api! in case i would find myself in the need to also do a find by this new field!	CustomerSearch	0	1	0	0
o	"how about upload file to server?,""To DavidUntama Just send it as JSON and then use ,GSON.fromJson, on your server to parse it."	GSON.fromJson	0	1	0	0
o	"It can happen. I checked the constructor and found a ,NullPointerException, would be thrown before. But then I searched the whole code and found the close() method, modifying the str member variabel. Reading the JavaDoc lead to the conclusion, that read() must throw the IOException."",To Harmlezz That's what I have already asked in my last comment."	read()	0	1	0	0
p	@ArchimedesTrajano Not with the Java Cryptography Architecture.	Cryptography	0	1	0	0
o	"{NAME => 'TestTableName', FAMILIES => [{NAME => 'Family1', BLOOMFILTER => 'NONE', REPLICATION_SCOPE => '0', VERSIONS => '3', COMPRESSION => 'NONE', MIN_VERSIONS => '0', TTL => '2147483647', BLOCKSIZE => '65536', IN_MEMORY => 'false', BLOCKCACHE => 'true'}, {NAME => 'Family2', BLOOMFILTER => 'NONE', REPLIC                              ATION_SCOPE => '0', VERSIONS => '3', COMPRESSION =>'NONE', MIN_VERSIONS => '0', TTL => '2147483647', BLOCKSIZE => '65536', IN_MEMORY => 'false', BLOCKCACHE => 'true'}]}"",""And how are you """"getting"""" the row? Is through the Java API or through HBase Shell? In HBase Shell you should specify many versions, like """"hbase> get 't1', 'r1', {VERSIONS => 100}"""". In the Java API, the Result object from HTable.get(Get) has two methods: getColumnLatest and getColumn. The latter is a list of versions."	HTable.get(Get)	0	0	0	1
o	"""Anyway, what is the content of the objects in the SAX2EventRecorder?"""	SAX2EventRecorder	0	0	0	1
o	"Can this Api support hover function and linking?,""To user1525144 Sure, all you need is to add a MouseListener on each JLabel upon mouse clicked events, you can use ,Desktop.getDesktop().browse(),, upon mouseEntered/mouseExited you can act for the hovering. You can also set the cursor to ,Cursor.getPredefin"	Cursor.getPredefin	0	1	0	0
o	"i have add my code on github gist: ,gist.github.com/EikeBierman/fde05dde2e09d6167f76c41fe41828f1"",""AFAIK, using ,try (BufferedReader reader = new BufferedReader( new InputStreamReader( allmoviesUrl.openStream(), """"UTF-8"""" ) )), closes the ,reader,, who in turn closes the ,InputStreamReader,, who in turn closes the ,InputStream,. Other than that, I agree that parallelization of broken code only makes it crash faster. :D Let's call it ,fail-fast,. :D"	InputStreamReader	0	0	0	1
p	If one existed I'd prefer a HTTP framework that worked with Gson instead of Jersey as I'm more comfortable with it.	Gson	0	1	0	0
o	Complexity of HttpClient API simply reflects the complexity of its problem domain.	HttpClient	0	1	0	0
o	"""Java 7 introduces byte[] Files.readAllBytes(file); To those, who suggest the 'one-line' Scanner solution: Don't yo need to close it?"""	Files.readAllBytes(file)	0	1	0	0
p	Jersey can serialize POJOs to JSON without any annotations using Jackson.	Jersey	0	1	0	0
o	Apparently there are certain concern when it comes to persistent storage in ActiveMQ.	ActiveMQ	0	0	0	1
o	"I want to prevent the user to re-open the app from the recent task..,""This would work in a very specific use case where ,FirstActivity, is the only activity in the stack and it's the only instance of that activity in that task and it would not remove the task from recent tasks. In other words that does not have a similar effect as ,finishAndRemoveTask"	finishAndRemoveTask	0	0	0	1
o	"See also my question ,here, if you are interested please."",""To janzoner The point is ,ContextThemeWrapper, provides an implementation of ,getResources(), which ,Activity, inherits. That answers the original question. So what's wrong with my answer?"	getResources()	0	0	0	1
n	AWT's major failing is it's lack of components & functionality.	AWT	0	1	0	0
o	"Read the last sentence of the ,AutoCloseable#close(), method's javadoc."",""With Closeable you can throw only IOException, while with AutoCloseable interface you can throw all the Exception"	AutoCloseable	0	0	0	1
p	"""For instance, System.console().readLine() (new in Java 6) is pretty easy."""	System.console().readLine()	0	1	0	0
o	"In official hbase book ,hbase.apache.org/book/versions.html,  it is said  """"Doing a put always creates a new version of a cell, at a certain timestamp. By default the system uses the server's currentTimeMillis, but you can specify the version (= the long integer) yourself, on a per-column level. This means you could assign a time in the past or the future, or use the long value for non-time purposes."""""",""And how are you """"getting"""" the row? Is through the Java API or through HBase Shell? In HBase Shell you should specify many versions, like """"hbase> get 't1', 'r1', {VERSIONS => 100}"""". In the Java API, the Result object from HTable.get(Get) has two methods: getColumnLatest and getColumn. The latter is a list of versions."	getColumnLatest	0	0	0	1
o	Glassfish I never faced any such issues.	Glassfish	0	0	0	1
o	"I was looking for a way to close the OutputStream without closing the socket and it did the trick! Thank a lot mate! You ended an interminable quest...,""I am looking for the same To Gregordy but for the ,BluetoothSocket,. It doesn't have method ,shutdownInput(),. Do you have any idea?"	shutdownInput()	0	1	0	0
n	"I am getting this exception ,Exception in thread """"main"""" java.lang.ClassCastException: com.eviware.soapui.impl.wsdl.testcase.WsdlTestCaseRunner cannot be cast to com.eviware.soapui.model.iface.MessageExchange,. Do you have any idea"",""You need to iterate through ,runner.getResults(),."	runner.getResults()	0	0	0	1
o	"""I created an example app using Comet, Raphael, Bayeux, Java and Maven running PaaS Cloudbees and wrote a blog post about it, hopefully it will be helpful to someone."""	Raphael	0	0	0	1
o	"""On the other hand, Acegi, or now aka Spring security, tackles a much higher """"layer"""" in the securing web-application problem."""	Spring security	0	0	1	0
p	I find jackson or simple json much easier to use then gson.	json	1	0	0	0
p	URL_http://tika.apache.org/ [Apache-Tika] is the best choice.	Apache-Tika	0	0	0	1
p	"""""""Swing components are generally buggier than AWT"""": this is false as well."""	Swing	0	0	0	1
o	Can be implemented using ACEGI.	ACEGI	0	1	0	0
o	Getting Access to HttpServletRequest object in restful web service.	HttpServletRequest	0	0	0	1
o	"""URL_http://stackoverflow.com/a/1943667/831203 [RESTlet] )"	RESTlet	0	0	0	1
o	After that there was the necessity of wrappers to support both LOG4J and java.util.logging.	LOG4J	0	1	0	0
o	Doesn't matter. The makers of StringReader could declare read without IOException. That was a mistake on their part.,But for safer side a expert Java programmer has put this check.	StringReader	0	0	0	1
p	You might want to see the discussion about Swing vs. Qt URL_http://stackoverflow.com/questions/422956/java-swing-or-java-qt [here] .	Qt	0	0	0	1
o	Have you looked into ,CalendarContract, to get a better idea?	CalendarContract	0	1	0	0
p	Changing logging backend is not a problem if you are using SLF4J Api.	SLF4J	0	1	0	0
o	"It can happen. I checked the constructor and found a ,NullPointerException, would be thrown before. But then I searched the whole code and found the close() method, modifying the str member variabel. Reading the JavaDoc lead to the conclusion, that read() must throw the IOException."",To Harmlezz That's what I have already asked in my last comment."	close()	0	1	0	0
o	Please don't use this code ,at all., There's no point in deploying an insecure solution even just to test it. You're running the risk of it 'leaking' into production, which would be a ,major, security breach. Also the code ignores exceptions and violates the contract of ,TrustManager., Avoid.	javax.net.ssl.TrustManager	0	0	0	1
o	"Is there a good tutorial or documentation anywhere once you get past the basics? Pro JPA 2 Mastering the Java Persistence API is a much better than the sun tutorial, but doesn't go into enough detail. I'm having a hard time creating complex joins using Criteria API and not finding extensive documentation and examples."",""To april26 - I learned via trial and error enabling OpenJPA's logging in my WAS 8 output console.  I was able to see the SQL the Criteria API was generating and tinkered with it until it spit out the query I was expecting to see.  Before that, I plowed thro"	Criteria API	0	0	0	1
o	"now that i look at this some more you could even build a query factory to avoid that awkward constructor call: QueryFactory.customer().withName(""""john(.*)"""").olderThan(10) QueryFactory.customer() would be a static factory method tahts returns CustomerQueries. you could then reuse the same query factory for any other entity queries you might have"",""If you developing an API is best to not add functionality you may want to remove later, it is easier to add it than to remove it."	QueryFactory.customer()	0	1	0	0
o	"I am of the opinion that if the element cannot be found, the caller shouldn't have called the method from the start at all. You could have a check method, so you can write if(hasElement('test')) getMandatoryChildElement('test');. Much better than the try-catch-try next method sort of code. How would you write a 'load file' method?"",To Robin: If you are writing a database API? Javabeans are for simple DTO type classes. You aren't seriously naming all your methods according to the java beans spec?"	getMandatoryChildElement	0	1	0	0
o	I've read all this before start using shiro.	shiro	0	1	0	1
o	"""In particular, if you are working in a serious Java web application stack, you are often in _multiple_ logging environments at one time; (e.g hibernate may use log4j, and tomcat java.util.logging)."""	java.util.logging	0	1	0	0
o	Below is an example of using this mechanism to leverage MOXy as the JSON provider.	MOXy	0	1	0	1
o	"It returns exactly the same value.,""new TextLayout(str,font,frc).getAdvance() returns exactly the same value."	TextLayout(str,font,frc).getAdvance()	0	1	0	0
o	"""We have also tried the JNDI route, which ends with the need for stubs for all shared interfaces."""	JNDI	0	0	0	1
p	"Add a default (non-arguments) constructor to EncryptionToken. Maybe Jackson create an empty instance and then put attributes by getters/setters,""Thanks for your example. This is very promising. However, how do you register this custom serializer into your jackson context? I would annotate the class with ,To JsonSerialize(using = EncryptionTokenSerializer.class), but since I don't have access to the EncryptionToken class, I can't do this..."	EncryptionToken	0	1	0	0
p	CODETERM2 seems as easy and simpler as JAXB but I could not find any licensing information to evaluate it for enterprise use.	JAXB	0	1	0	0
o	"""I used NetBeans extensively in the past for GUI design, but I am now using IntelliJ with the JFormDesigner plugin."""	NetBeans	0	1	0	0
o	"Hey, an error occurred only in the last week Before that everything works fine with the same code"",""No, the link isn't works also in browser. yes it's the offical Translate API from google site (google-api-translate-java-0.97)"	google-api-translate-java-0.97	0	0	0	0
p	That native() method looks interesting.	native()	0	0	0	1
o	"The following generalized recursive code uses my parser to parse a JSON file into a """"DataStruct"""" - essentially a map of lists (Note that DataStruct and Callback are objects from another package which are not published with this parser: CODESNIPPET_JAVA1 ."""	JSON	0	0	0	1
n	"""JBossMQ may not scale as well as JBM, but to say """"not scalable at all"""" is just plain wrong."""	JBossMQ	1	0	0	0
p	""":) With Spring Security 3.x, it has tremendously improved upon."""	Spring Security 3.x	0	0	0	1
o	You could use URL_http://www.jboss.org/netty [Netty] or URL_http://mina.apache.org/ [Apache-Mina] albeit they are very low level and I'm not sure you will end up with less verbose code.	Apache-Mina	0	1	0	0
o	"To janzoner The point is ,ContextThemeWrapper, provides an implementation of ,getResources(), which ,Activity, inherits. That answers the original question. So what's wrong with my answer?"",Too late to edit. The answer was updated with that answer anyway. T"	getResources()	0	0	0	1
o	"To Cirkel Can't upvote enough, thanks for your answer!"",""Sure but NodeProxy depends on Node as well, so instead of having one object dependent of Node, we now have an Object dependent on NodeImpl and Node and one dependent on Node - hard to see the advantag"	NodeProxy	0	1	0	0
n	"To krio, thats fine, but i would go with kevins answer. gson looks to be more up to date and robust."",""That is true Aleadam, but what happens when you do need that extra stuff. Plus it makes it cleaner and easier to read, as well as to update. Java is all a"	gson	0	0	0	1
o	If you can't use Commons IO (FileUtils/IOUtils/CopyUtils) here's an example using a BufferedReader to read the file line by line: CODESNIPPET_JAVA1 .	BufferedReader	0	1	0	0
p	URL_http://www.terracotta.org/ [Terracotta] might be a good fit here (disclosure: I am a developer for Terracotta).	Terracotta	0	0	0	1
p	I have used both Jackson and Gson for the JSON support with RESTEasy and it is quite simple.	Jackson	1	0	0	0
o	"To user1525144 No idea. It's the first time I used it. There are maybe other API available but it's the only open source I found.,""Just wanted to chime in here and say that after evaluating opencloud and kumo as my options, Kumo was the clear winner here. I"	OpenCloud	0	1	0	0
p	"Features: Swing supports a wider range of features like icons and pop-up tool-tips for components."""	Swing	0	1	0	0
o	Gson can work with arbitrary Java objects including pre-existing objects that you do not have source-code of.	Gson	0	1	0	0
p	"""JBoss is more much popular, there are a lot of administrators, developers, who know it,so it is easier to find someone, who can develop on JBoss, there are also moreresources in the net."""	JBoss	0	0	0	1
o	"To Mondain It's great for lower level transcoding work, but if you just want to build a media player it requires a lot of work just to get relatively simple features working properly (such as seeking.)"",""gstreamer-java definitely looks promising, thanks for"	gstreamer-java	0	1	0	0
n	"To Andreas note that I fixed some errors in my code (I had ,headSet(), instead of ,tailSet(), and needed to """"readd"""" the last element). Also please note that this is just an example for you to build on and you'd still need to check for bugs and fix them."", Good idea! When i have to implement more than one 'special' Set I'll use it."	tailSet()	0	1	0	0
o	"In case of ,List<Integer>,, the appropriate way to remove an int in the list is to use ,remove(Integer.valueOf(number)),."",Ambiguity is precisely when two different things have the same name."	Integer.valueOf(number)	0	1	0	0
o	"\- then you just call lc.login(); and authenticate the credentials."""	lc.login()	0	0	1	0
o	"I disagree with throwing an ,IllegalArgumentException,. It should be a ,NullPointerException,. Although it's an ,endless discussion,, ,Set.add(), already throws a NPE ,""""if the specified element is null and this set does not permit null elements"""",. You would be creating different behaviour for the same thing by throwing an ,IllegalArgumentException, now."",""It should throw a ,NullPointerException, as defined by the ,Collection, and ,Set, documentations. ,To throws NullPointerException if the specified element is null and this set does not permit null elements,."	NullPointerException	0	0	0	1
o	To Lucene I would add SOLR URL_http://wiki.apache.org/solr/AnalyzersTokenizersTokenFilters [ URL_http://wiki.apache.org/solr/AnalyzersTokenizersTokenFilters ] .	AnalyzersTokenizersTokenFilters	0	0	0	1
o	We're using JBoss (4.0.4 I think) to serve SOAP calls.	JBoss	0	0	0	1
n	I would advise against Spring MVC for REST because it is not JAX-RS compliant.	REST	0	0	0	1
o	"I am posting this after some research; as i was having trouble specifying content type as 'JSON' i.e. all caps. My problem got resolved by changing 'requestContentType : JSON' to 'requestContentType : application/json'.,""It is not a String. ,JSON, refers to ,groovyx.net.http.ContentType.JSON,. Please refer ,github.com/jgritman/httpbuilder/blob/master/src/main/java/闁? To aamir"	requestContentType	0	0	0	0
o	All you do is annotate a POJO with JAXB annotations and include the proper libraries.	JAXB	0	0	0	1
p	"""As an alternative to the Commons libraries, Google's excellent URL_http://code.google.com/p/guava-libraries/ [guava-libraries] let you do this fairly concisely; given an _InputStream_ named _inputStream_: CODESNIPPET_JAVA1 ."""	guava-libraries	0	1	0	0
o	"Hi all, i have same problem with french characters, i have tried this code:       MimeMessage message = new MimeMessage(session);      message.setSubject(subject, """"UTF-8"""");      message.setBody(body, """"UTF-8"""");  Body is being generated correctly but subject i am not getting correctly.Can someone help me"",why not UTF-8 ?"	message.setSubject	0	0	0	1
p	Agreed -- but throw NullPointerException() if the problem is a null reference!.	NullPointerException()	0	0	0	1
o	In many (thou not all) cases you can use CharSequence instead of a String.	CharSequence	0	1	0	0
o	IOUtils.toString is deprecated.	IOUtils.toString	0	1	0	0
o	"Interesting. How would you do then to avoid that kind of problem?,""Following is the java implementation for it                      ,public static synchronized SingletonPattern getInstance(){   if (instance == null)   {   instance = new SingletonPattern();   }   return instance;   }"	SingletonPattern	0	0	0	1
p	I provides a great introduction to REST: what it is and how to implement a (practical) RESTful web service.	REST	0	0	0	1
